Restaurant,Section,Item,Description,Price
bel aire restaurant diner,carving board sandwiches,silver cup sandwich,grilled pastrami fried onions topped with melted swiss served on rye toast,$14.59 
bel aire restaurant diner,carving board sandwiches,meatball sub,0 over sized fried meatballs on a garlic hero topped with marinara sauce and mozzarella,$15.39 
bel aire restaurant diner,carving board sandwiches,french dip sandwich,roast beef au jus topped with mozzarella and served on a hero with beef stock for dipping on the side,$16.29 
bel aire restaurant diner,carving board sandwiches,southern style brisket sandwich,bbq roasted brisket topped with coleslaw and fronions served on a roll,$14.39 
bel aire restaurant diner,carving board sandwiches,brisket sandwich,slow cooked for over 0 hours and served on a brioche bun,$14.19 
bel aire restaurant diner,carving board sandwiches,pulled pork sandwiches,slow cooked for over 0 hours served on a brioche bun,$14.19 
bel aire restaurant diner,carving board sandwiches,homemade meatloaf sandwich,made in house and topped with mushroom gravy served on a brioche bun,$13.59 
bel aire restaurant diner,carving board sandwiches,thanksgiving turkey sandwich,roasted turkey stuffing cranberry sauce with turkey gravy on a roll,$12.19 
bel aire restaurant diner,carving board sandwiches,cuban sandwich,pulled pork grilled ham pickles and muenster cheese on a toasted hero,$15.49 
bel aire restaurant diner,carving board sandwiches,habitat sandwich,hot roast turkey bacon and swiss cheese topped with turkey gravy served on a panini,$13.99 
bel aire restaurant diner,hot open sandwiches,hot open pulled pork sandwich,served on white bread and topped with bbq sauce and fronions,$17.69 
bel aire restaurant diner,hot open sandwiches,hot open skirt steak sandwich,charred skirt steak cooked to your liking on a garlic roll,$22.99 
bel aire restaurant diner,hot open sandwiches,hot open turkey sandwich,piled high on white bread and topped with turkey gravy,$17.39 
bel aire restaurant diner,hot open sandwiches,hot open roast sirloin sandwich,piled high on white bread and topped with brown gravy,$17.69 
bel aire restaurant diner,triple decker sandwiches,0 sliced turkey club triple decker sandwich,roasted turkey topped with lettuce tomato and bacon,$15.79 
bel aire restaurant diner,triple decker sandwiches,0 tuna salad club triple decker sandwich,tuna salad hard boiled egg lettuce and tomato,$14.49 
bel aire restaurant diner,triple decker sandwiches,0 ham club triple decker sandwich,virginia ham swiss cheese lettuce and tomato,$13.69 
bel aire restaurant diner,triple decker sandwiches,0 grilled chicken club triple decker sandwich,grilled chicken breast bacon lettuce and tomato,$15.19 
bel aire restaurant diner,triple decker sandwiches,0 chicken salad club triple decker sandwich,homemade chicken salad with bacon lettuce and tomato,$14.49 
bel aire restaurant diner,triple decker sandwiches,0 egg salad club triple decker sandwich,egg salad bacon lettuce and tomato,$13.79 
bel aire restaurant diner,triple decker sandwiches,0 grilled cheese club triple decker sandwich,grilled cheese stuffed with bacon and grilled tomatoes,$14.29 
bel aire restaurant diner,triple decker sandwiches,0 roast beef club triple decker sandwich,roasted beef swiss cheese lettuce and tomato,$15.79 
bel aire restaurant diner,greek sandwiches,gyro sandwich,choice of beef or chicken topped with tzatziki lettuce tomatoes and onion,$9.49 
bel aire restaurant diner,greek sandwiches,roasted lamb pita,sliced leg of lamb in a pita bread served with tzatziki sauce lettuce tomatoes and onions make it a platter for an additional charge,$13.39 
bel aire restaurant diner,greek sandwiches,gyro platter,choice of chicken or beef wrapped in a pita served with greek salad and french fries or rice,$16.49 
bel aire restaurant diner,greek sandwiches,souvlaki platter,choice of chicken or pork cubes wrapped in a pita served with greek salad and french fries or rice,$16.69 
bel aire restaurant diner,greek sandwiches,saganaki pita,kefalograviera cheese with lettuce tomatoes and onions on a toasted pita topped with tsatsiki make it a platter for an additional charge,$12.99 
bel aire restaurant diner,greek sandwiches,souvlaki sandwich,stuffed with chunks of pork or chicken and topped with tzatziki lettuce tomatoes and onions,$9.69 
bel aire restaurant diner,greek entrees,homemade moussaka,layers of potato eggplant and greek style meat sauce topped with a bechamel and baked to a golden brown served with a greek salad,$16.59 
bel aire restaurant diner,greek entrees,pikilia platter for 0,beef gyro chicken gyro pork souvlaki chicken souvlaki tzatziki served over steak fries with toasted pita lettuce tomato and feta cheese,$28.99 
bel aire restaurant diner,greek entrees,chicken athenian,chicken breast stuffed with spinach pie and baked to a golden brown served with a choice of soup or salad,$17.69 
bel aire restaurant diner,greek entrees,shrimp santorini,pan fried shrimp in olive oil with onions diced tomatoes and feta cheese over rice topped with oregano,$20.79 
bel aire restaurant diner,greek entrees,galamari saganaki,lightly grilled calamari in olive oil with diced tomatoes green peppers and saganaki cheese served over rice gluten free,$23.89 
bel aire restaurant diner,saute specials,francaise special,chicken breast dipped in a batter of egg and flour and topped with a lemon butter sauce over rice,$17.69 
bel aire restaurant diner,saute specials,chicken manhattan special,pan fried chicken breast fresh mushrooms artichokes in a garlic butter sauce over rice,$26.89 
bel aire restaurant diner,saute specials,chicken ponderosa special,pan fried chicken virginia ham fresh spinach mozzarella lemon butter sauce over penne,$26.89 
bel aire restaurant diner,saute specials,chicken san francisco special,pan fried chicken fresh asparagus prosciutto light white wine butter sauce served over penne and topped with mozzarella,$22.89 
bel aire restaurant diner,saute specials,cordon bleu special,chicken breast rolled with ham and swiss cheese mushroom cream sauce over rice,$19.69 
bel aire restaurant diner,saute specials,bbq bourbon steak tips special,charred steak tips peppers onions garlic in a barbecue bourbon sauce over mashed gluten free,$30.59 
bel aire restaurant diner,saute specials,chicken mimosa special,sauteed chicken breast fresh mushrooms fresh spinach in a garlic champagne sauce over angel hair,$23.29 
bel aire restaurant diner,saute specials,chicken pizzaiola special,chicken breast sun dried tomatoes onions mushrooms and red pepped in a light red sauce topped with fresh mozzarella over linguini,$26.79 
bel aire restaurant diner,saute specials,teriyaki special,pan fried chicken tips sauteed with peppers onions carrots mushrooms zucchini tossed with a teriyaki glaze over rice gluten free,$17.69 
bel aire restaurant diner,saute specials,chicken monte carlo special,pan fried chicken fresh mushrooms tomatoes grated cheese white wine sauce served over mashed potatoes,$27.69 
bel aire restaurant diner,saute specials,lamb provencal special,roasted lamb over mashed potatoes topped with roasted tomatoes in olive oil onions garlic olives and capers gluten free,$21.89 
bel aire restaurant diner,saute specials,flank steak scallopini special,flank steak fresh mushrooms fresh broccoli in a garlic lemon sauce over linguini,$30.59 
bel aire restaurant diner,seafood dishes,spanish paella,pan fried chicken calamari shrimps mussels clams green olives red peppers and rice made for sharing gluten free,$31.89 
bel aire restaurant diner,seafood dishes,bluefish provencal,pan fried over mashed potatoes with roasted tomatoes onions garlic olives and capers gluten free,$16.49 
bel aire restaurant diner,seafood dishes,shrimp stir fry,shrimp mixed peppers onions scallions and broccoli in a sesame teriyaki sauce over rice,$21.99 
bel aire restaurant diner,seafood dishes,mariscos portuguese,calamari clams and mussels with olive oil caperes tomatoes parsley and garlic over angel hair,$21.99 
bel aire restaurant diner,seafood dishes,filet porto fino,filet of sole fresh garlic mushroom and spinach in a lemon butter sauce over rice,$28.79 
bel aire restaurant diner,seafood dishes,sizzling salmon kebab,chunks of salmon peppers onions tomatoes and mushrooms on a sizzling skillet served with rice on the side,$24.99 
bel aire restaurant diner,seafood dishes,spicy seafood fra diavolo,shrimp calamari clams and mussels tossed with a spicy red sauce scallions and parsley served over angel hair,$31.99 
bel aire restaurant diner,seafood dishes,linguini with clam sauce,tossed with whole clams chopped clams scallions red peppers choice of red or white,$17.89 
bel aire restaurant diner,seafood dishes,mussels marengo,whole mussels mushrooms pepperes artichokes tomatoes with wine sauce over rice,$22.00 
bel aire restaurant diner,italian appetizers,garlic bread,garlic hero topped with mozzarella cheese and served with marinara dipping sauce,$5.29 
bel aire restaurant diner,italian appetizers,chicken parmisan bites,boneless chicken topped with marinara and baked with mozzarella,$9.89 
bel aire restaurant diner,italian appetizers,homemade meatballs,0 beef meatballs topped with marinara sauce and grated cheese,$5.99 
bel aire restaurant diner,italian entrees,eggplant parmigiana,fried eggplant cutlets topped with melted mozzarella cheese and homemade marinara sauce over spaghetti,$14.49 
bel aire restaurant diner,italian entrees,baked lasagna,layered with meat mozzarella cheese ricotta and lasagna noodles then baked to order,$15.39 
bel aire restaurant diner,italian entrees,bolognese,spaghetti topped with our homemade meat sauce,$13.79 
bel aire restaurant diner,italian entrees,chicken parmigiana,chicken cutlet topped with melted mozzarella cheese and homemade marinara sauce over spaghetti substitute shrimp for an additional charge,$16.59 
bel aire restaurant diner,italian entrees,piccata,pan fried chicken topped with a lemon butter caper sauce and served over angel hair pasta,$17.79 
bel aire restaurant diner,italian entrees,marsala,pan fried chicken topped with a mushroom marsala wine sauce and served over mashed potatoes,$17.59 
bel aire restaurant diner,italian entrees,pasta and meatballs,spaghetti topped with 0 homemade meatballs,$16.39 
bel aire restaurant diner,italian entrees,scampi,pan fried chicken tossed with a garlic white wine butter sauce broccoli and red peppers served over rice,$17.69 
bel aire restaurant diner,italian entrees,beef ravioli,homemade marinara sauce and mozzarella cheese,$15.59 
bel aire restaurant diner,italian entrees,cheese ravioli,homemade marinara sauce and mozzarella cheese,$15.59 
bel aire restaurant diner,italian pastabilities,fettucini alfredo,fettucini in a creamy cheese sauce,$14.79 
bel aire restaurant diner,italian pastabilities,mushroom florentine,fettucini white and portobello mushrooms fresh spinach in a creamy white sauce,$19.79 
bel aire restaurant diner,italian pastabilities,penne a la greca,grilled zucchini dill and feta cheese olive oil and penne,$13.19 
bel aire restaurant diner,italian pastabilities,linguini italiano,linguini with roasted garlic olive oil and fresh broccoli,$13.19 
bel aire restaurant diner,italian pastabilities,angel hair primavera,mushrooms broccoli peas peppers onions and carrots in a red sauce or white sauce,$15.49 
bel aire restaurant diner,italian pastabilities,penne a la vodka,homemade vodka cream sauce,$13.19 
bel aire restaurant diner,italian pastabilities,baked penne parmigiana,ricotta cheese and marinara sauce topped with mozzarella and baked,$15.49 
bel aire restaurant diner,italian pastabilities,spaghetti carbonara,grilled prosciutto and scallions tossed with a heavy cream sauce,$15.99 
bel aire restaurant diner,italian pastabilities,ravioli,beef or cheese ravioli topped with marinara and mozzarella,$14.99 
bel aire restaurant diner,italian pastabilities,wild mushroom ravioli,stuffed with a mixture of wild mushrooms and tossed with a mushroom cream sauce,$14.99 
bel aire restaurant diner,from the broiler,charred skirt steak,seasoned and cooked to your liking served with mashed potatoes and grilled mushrooms and onions add whole lobster for an additional charge,$34.49 
bel aire restaurant diner,from the broiler,roasted chicken,roasted herbed half chicken over homemade stuffing yellow rice and stewed homemade vegetables,$15.59 
bel aire restaurant diner,from the broiler,charred sliced flank steak,seasoned and cooked to your liking mashed potatoes and grilled vegetables,$24.99 
bel aire restaurant diner,from the broiler,charred lamb chops,seasoned and cooked to your liking roasted potatoes and mixed vegetables,$31.99 
bel aire restaurant diner,from the broiler,roasted brisket of beef,slow cooked topped with natural gravy mashed potato and corn,$17.79 
bel aire restaurant diner,from the broiler,chicken kebab,chunks of chicken green peppers tomatoes onions and mushrooms served over rice pilaf,$18.09 
bel aire restaurant diner,from the broiler,grilled pork chops,0 pork chops served with rice and mixed vegetables add 0 stuffed mushrooms for an additional charge,$23.79 
bel aire restaurant diner,from the broiler,0 oz new york cut sirloin steak,seasoned and cooked to your liking served with mashed potatoes and grilled mushrooms with onions add 0 broiled shrimp for an additional charge,$31.99 
bel aire restaurant diner,from the broiler,homemade chicken pot pie,loaded with chicken and vegetables topped with a pie crust and baked to perfection no sides,$14.49 
bel aire restaurant diner,from the broiler,thanksgiving dinner,roasted turkey over homemade stuffing topped with giblet gravy and served with cranberry sauce mashed potatoes and corn,$18.59 
bel aire restaurant diner,from the broiler,bbq combo,slow cooked ribs and a quarter bbq chicken served with macaroni and cheese and coleslaw double chicken or ribs for an additional charge,$19.99 
bel aire restaurant diner,from the broiler,bbq ribs,slow cooked for hours topped with barbecue sauce served with macaroni and cheese and coleslaw add 0 0 pound brisket for an additional charge,$19.99 
bel aire restaurant diner,from the broiler,shepherd s pie,seasoned ground beef peas carrots corn topped with mashed potatoes and baked to a golden brown no sides,$14.49 
bel aire restaurant diner,from the broiler,homemade meatloaf,homemade meatloaf topped with mushroom gravy mashed potatoes and corn,$15.99 
bel aire restaurant diner,seafood entrees,fried fish combo,fried filet calamari and shrimp with french fries and coleslaw,$17.89 
bel aire restaurant diner,seafood entrees,broiled bluefish,served over mashed potatoes,$15.79 
bel aire restaurant diner,seafood entrees,fish and chips,battered and fried to order served with steak fries and tartar sauce,$16.79 
bel aire restaurant diner,seafood entrees,pan fried whiting,served over sauteed spinach with garlic and olive oil add an extra 0 whitings for an additional charge,$16.69 
bel aire restaurant diner,seafood entrees,charred salmon,a jumbo cut served with roasted potatoes and grilled vegetables topped with shrimp teriyaki,$24.19 
bel aire restaurant diner,seafood entrees,broiled filet of sole,broiled filet topped with our house blend of spices served with rice and grilled vegetables add 0 stuffed shrimp for an additional charge,$25.79 
bel aire restaurant diner,seafood entrees,broiled shrimp,served over rice and grilled vegetables add 0 lamb chops for an additional charge,$19.99 
bel aire restaurant diner,seafood entrees,captain s platter,broiled tilapia shrimp stuffed mushrooms and calamari served over rice,$31.99 
bel aire restaurant diner,seafood entrees,whole 0 0 pound lobster,steamed and served with butter sauce soup or salad roasted potatoes and grilled vegetables add a sirloin steak for an additional charge,$24.99 
bel aire restaurant diner,seafood entrees,fried calamari,served with buttery pasta on the side,$21.79 
bel aire restaurant diner,seafood entrees,blackened tilapia with southwestern salsa,blackened tilapia topped with southwestern salsa and served with avocado and rice,$17.89 
bel aire restaurant diner,seafood entrees,filet o fish sandwich,lightly breaded and fried white fish served on a brioche with romaine lettuce and pickles,$11.39 
bel aire restaurant diner,seafood entrees,bluefish burger,on a toasted brioche topped with sun dried tomatoes and arugula served with rice as a side,$16.49 
bel aire restaurant diner,south appetizers,guac and chips,homemade guacamole with fresh fried tortillas for dipping,$7.99 
bel aire restaurant diner,south appetizers,salchipapas,steak fries topped with fried beef hot dogs,$8.29 
bel aire restaurant diner,south appetizers,arroz con habichueas,yellow rice topped with baked black beans,$5.89 
bel aire restaurant diner,south entrees and sandwiches,double stuffed giant burrito,chicken steak yellow rice black beans avocado red onion tomatoes cheddar in a double sized burrito,$19.99 
bel aire restaurant diner,south entrees and sandwiches,chicken quesadilla,stuffed with chicken mushroom jalapenos and mozzarella served with shredded lettuce diced tomatoes red onions and black bean salsa substitute shrimp or flank steak for an additional charge,$15.99 
bel aire restaurant diner,south entrees and sandwiches,taco salad,romaine lettuce corn tomatoes red onions shredded cheddar and chili in a giant tortilla shell,$15.49 
bel aire restaurant diner,south entrees and sandwiches,suave steak,flank steak served with rice black beans a small salad avocado and a toasted flour tortilla,$22.99 
bel aire restaurant diner,south entrees and sandwiches,milanesa de pollo,fried chicken cutlet served with rice and beans and a small salad with avocado,$16.89 
bel aire restaurant diner,south entrees and sandwiches,cheese quesadilla,loaded with mozzarella and cheddar served with lettuce tomatoes red onions and black beans add philly beef for an additional charge,$10.99 
bel aire restaurant diner,south entrees and sandwiches,chimichangas,choice of chicken or beef served in a tortilla shell stuffed with rice tomatoes black bean salsa cheddar then deep fried and topped with guacamole,$16.49 
bel aire restaurant diner,south entrees and sandwiches,shrimp bowl,grilled shrimp over rice topped with cheddar mozzarella corn tortilla chips black bean salsa diced tomatoes red onions and guacamole,$18.69 
bel aire restaurant diner,south entrees and sandwiches,carnitas bowl,pulled pork over rice topped with red onions guacamole tortilla chips black beans and guacamole gluten free,$15.69 
bel aire restaurant diner,south entrees and sandwiches,lomo saltado,strips of skirt steak steak fries garlic tomatoes red onion and cilantro over yellow rice gluten free,$26.89 
bel aire restaurant diner,south entrees and sandwiches,build your own nachos,choose your meat cheese type and chip type top it however you like,$13.99 
bel aire restaurant diner,dinner platters,dinner pikilia combo,0 baby lamb chops 0 pork chops flank steak herbed 0 0 chicken with 0 soups a salad made for sharing includes 0 more sides,$56.49 
bel aire restaurant diner,dinner platters,southern bbq platter,roasted brisket bbq chicken pulled pork served with mac and cheese and coleslaw,$26.29 
bel aire restaurant diner,dinner platters,triple play platter,flank steak teriyaki cajun chicken breast bbq spare ribs served served with soup or salad rice and grilled vegetables,$28.39 
bel aire restaurant diner,dinner platters,surf and turf platter,a 0 oz new york steak 0 broiled shrimp 0 stuffed mushrooms served with 0 soups a salad mashed potato and rice built for 0 people,$50.39 
bel aire restaurant diner,side orders,banana,,$1.00 
bel aire restaurant diner,side orders,bacon,,$3.99 
bel aire restaurant diner,side orders,ham,,$3.99 
bel aire restaurant diner,side orders,sausage,,$3.99 
bel aire restaurant diner,side orders,beef sausage,,$4.99 
bel aire restaurant diner,side orders,cup of chili,,$4.99 
bel aire restaurant diner,side orders,home fries,,$4.99 
bel aire restaurant diner,side orders,steak fries,,$4.99 
bel aire restaurant diner,side orders,sauteed vegetables in olive oil,,$6.99 
bel aire restaurant diner,side orders,baked beans,,$4.99 
bel aire restaurant diner,side orders,bowl of chili,,$6.99 
bel aire restaurant diner,side orders,fruit salad,,$4.50 
bel aire restaurant diner,side orders,scoop of cottage cheese,,$4.00 
bel aire restaurant diner,side orders,spaghetti with tomato sauce,,$6.99 
bel aire restaurant diner,side orders,sweet potato fries,,$5.99 
bel aire restaurant diner,side orders,waffle fries,,$5.99 
bel aire restaurant diner,side orders,soup,,$3.50 
bel aire restaurant diner,dessertsanity,our famous cheesecake,,$4.99 
bel aire restaurant diner,dessertsanity,chocolate cheesecake,,$5.50 
bel aire restaurant diner,dessertsanity,strawberry cheesecake,famous homemade cheesecake topped with fresh strawberries,$5.99 
bel aire restaurant diner,dessertsanity,freshly baked pies,apple blueberry cherry coconut custard apple crumb,$3.99 
bel aire restaurant diner,dessertsanity,ice cream,choice of vanilla chocolate or strawberry,$2.99 
bel aire restaurant diner,dessertsanity,pudding,rice pudding chocolate pudding creme caramel jello and sugar free jello,$3.99 
bel aire restaurant diner,dessertsanity,brownie sundae,topped with 0 scoops of ice cream walnuts whipped cream and cherries,$8.99 
bel aire restaurant diner,dessertsanity,deep fried oreos,double stuffed oreos dipped in our very own waffle batter deep fried to golden brown and dusted with powdered sugar,$4.99 
bel aire restaurant diner,dessertsanity,ice cream soda,,$4.99 
bel aire restaurant diner,dessertsanity,all american,warm apple crumb cake topped with vanilla ice cream graham crackers and whipped cream,$6.99 
bel aire restaurant diner,dessertsanity,layer cake,choice of lemon meringue chocolate layer carrot cake banana cream pie coconut cake chocolate cream pie and boston cream pie,$4.99 
bel aire restaurant diner,dessertsanity,homemade brownie,fudgey with chocolate chips,$2.99 
bel aire restaurant diner,drinks,milk,,$2.19 
bel aire restaurant diner,drinks,hot chocolate milk,made with steamed milk,$2.99 
bel aire restaurant diner,drinks,fresh lemonade,pink or classic made to order,$3.29 
bel aire restaurant diner,drinks,bottled water,,$1.50 
bel aire restaurant diner,drinks,assorted juice,choose from 0 different varieties,$2.00 
bel aire restaurant diner,drinks,small coffee,special fresh ground pascal house blend,$1.50 
bel aire restaurant diner,drinks,large coffee,special fresh ground pascal house blend,$2.25 
bel aire restaurant diner,drinks,iced coffee,home brewed coffee over ice,$2.25 
bel aire restaurant diner,drinks,can soda,,$1.79 
bel aire restaurant diner,smoothies,chunky monkey smoothie,almond milk chocolate whey protein peanut butter and banana,$7.00 
bel aire restaurant diner,smoothies,bel aire smoothie,frozen yogurt banana strawberries and orange juice,$6.00 
bel aire restaurant diner,smoothies,banana almond smoothie,almond milk whole almonds vanilla whey protein and banana,$7.00 
bel aire restaurant diner,smoothies,astoria squeeze smoothie,frozen yogurt strawberries and pineapple juice,$6.00 
bel aire restaurant diner,smoothies,broadway smoothie,frozen yogurt apple juice banana strawberries and pineapple juice,$6.00 
bel aire restaurant diner,smoothies,triple berry smoothie,frozen yogurt strawberry blueberry and cranberry juice,$6.00 
bel aire restaurant diner,milk shakes,classic milkshake,vanilla chocolate oreo black and white or strawberry,$6.00 
bel aire restaurant diner,milk shakes,brownie shake,chocolate shake blended with a brownie and topped with a mini brownie,$7.00 
bel aire restaurant diner,milk shakes,cake batter shake,vanilla shake blended with cake and rainbow sprinkles topped with more cake and rainbow sprinkles,$7.00 
bel aire restaurant diner,drinks and coffee,iced cappucino,,$5.99 
bel aire restaurant diner,drinks and coffee,frappe,iced nescafe coffee,$3.99 
bel aire restaurant diner,drinks and coffee,frappe with vanilla ice cream,iced nescafe coffee with a scoop of vanilla ice cream,$5.00 
bel aire restaurant diner,drinks and coffee,cafe mocha,,$4.99 
bel aire restaurant diner,drinks and coffee,egg cream,,$3.50 
bel aire restaurant diner,drinks and coffee,lime rickey,sweetened lime juice and seltzer,$3.99 
bel aire restaurant diner,drinks and coffee,snapple,,$2.95 
bel aire restaurant diner,drinks and coffee,espresso,classic espresso,$2.99 
bel aire restaurant diner,drinks and coffee,double shot espresso,double shot of our homemade espresso,$3.99 
bel aire restaurant diner,drinks and coffee,cappucino,,$4.99 
bel aire restaurant diner,drinks and coffee,cafe latte,,$5.99 
bel aire restaurant diner,drinks and coffee,coke float,,$4.99 
bel aire restaurant diner,drinks and coffee,fresh squeezed orange juice,,$3.00 
bel aire restaurant diner,0 personal pizza,0 cheese pizza,provolone mozzarella grated parmigiana,$10.69 
bel aire restaurant diner,0 personal pizza,breakfast pizza,bacon cheddar cheese diced onions and eggs,$12.89 
bel aire restaurant diner,0 personal pizza,bbq ranch chicken pizza,grilled chicken bbq sauce bacon cheddar fronions with a ranch drizzle,$13.39 
bel aire restaurant diner,0 personal pizza,buffalo chicken pizza,buffalo chicken ranch bleu cheese mozzarella cheddar and sauce,$14.19 
bel aire restaurant diner,0 personal pizza,meat lovers pizza,sausage salami ground beef and bacon,$16.59 
bel aire restaurant diner,0 personal pizza,greek pizza,marinara sauce spinach pie filling and mozzarella cheese,$12.99 
bel aire restaurant diner,0 personal pizza,brooklyn avenue pizza,pastrami corned beef sauerkraut swiss cheese and pickles with a russian dressing drizzle,$14.09 
bel aire restaurant diner,0 personal pizza,hangover pizza,ground beef eggs all the cheese gravy and tater tots,$17.69 
bel aire restaurant diner,soup,small soup,0 oz of our homemade soup,$4.00 
bel aire restaurant diner,soup,large soup,0 oz of our homemade soup,$5.00 
bel aire restaurant diner,soup,family size soup,0 oz of our homemade soup,$11.00 
bel aire restaurant diner,soup,small soup,,$4.50 
bel aire restaurant diner,soup,large soup,,$5.50 
bel aire restaurant diner,soup,extra large soup,,$12.00 
flame broiler 0,protein bowls,chicken bowl,all natural skinless chicken substitute white meat for an additional charge,$5.75 
flame broiler 0,protein bowls,angus beef bowl,marinated choice angus beef,$7.35 
flame broiler 0,protein bowls,half half bowl,chicken and angus beef combination,$7.00 
flame broiler 0,protein bowls,organic tofu bowl,extra firm non gmo and char boiled tofu,$5.95 
flame broiler 0,protein plates,chicken plate,all natural skinless chicken,$9.45 
flame broiler 0,protein plates,angus beef plate,marinated choice angus beef,$12.35 
flame broiler 0,protein plates,half half plate,chicken and angus beef combination,$12.00 
flame broiler 0,protein plates,organic tofu plate,extra firm non gmo and char boiled tofu,$10.45 
flame broiler 0,side,slice of bacon,,$5.55 
flame broiler 0,drinks,soft drinks,assorted flavor,$1.99 
flame broiler 0,drinks,bottled water,,$1.60 
nikos grill and subs,beverages,fountain drinks,,$2.15 
nikos grill and subs,beverages,joe s tea,,$2.75 
nikos grill and subs,beverages,0 oz bottle soda,,$2.50 
nikos grill and subs,beverages,coffee,,$1.50 
nikos grill and subs,beverages,tea,,$1.50 
nikos grill and subs,appetizers,feta sticks 0,authentic feta cheese and red pepper wrapped in a crunchy sesame crust fried till golden and served with lemon wedges,$9.50 
nikos grill and subs,appetizers,eggplant rolls 0,a unique combination of fresh meditteranean eggplant with smoked cheese wrapped in crispy eggroll,$9.50 
nikos grill and subs,appetizers,niko s spring rolls 0,six rolls with aromatic herbs and spinach combing wild mountain greens a variety of fresh vegetables and crunchy phyllo served with tzatziki,$9.50 
nikos grill and subs,appetizers,tzatziki and pita,garlic cucumber and greek yogurt dip served with grilled or cripsy pita vegetarian,$6.95 
nikos grill and subs,appetizers,hummus and pita,mediterranean dip of ground chickpeas sesame and fresh lemon juice served with grilled pita vegetarian,$6.95 
nikos grill and subs,appetizers,dolmades yalazani,six grape leaves filled with rice and herbs served with pita tzatziki kalamata olives tomato and cucumber vegetarian,$7.95 
nikos grill and subs,appetizers,greek nachos,crispy pita topped with crumbled feta black olives tomatoes cucumbers red onion and tzatziki,$8.95 
nikos grill and subs,appetizers,falafel appetizer,0 greek style falafel served with our very own tzatziki vegetarian,$7.50 
nikos grill and subs,appetizers,spanakopita,spinach pie large flaky phyllo rectangle filled with sauteed spinach onion feta cheese and greek herbs vegetarian,$8.25 
nikos grill and subs,appetizers,mega fries,golden fries topped with gyro feta cheese red onions tomatoes and creamy feta garlic dressing vegetarian,$8.95 
nikos grill and subs,appetizers,feta and falafel appetizer,imported feta grilled pita 0 falafel greek olives tzatziki sauce cucumber and tomato vegetarian,$11.95 
nikos grill and subs,appetizers,wings,buffalo bbq or our own greek wings marinated in garlic olive oil and oregano then cooked to perfection and served with tzatziki,$6.50 
nikos grill and subs,appetizers,mozzarella sticks,0 pieces served with marinara sauce vegetarian,$6.50 
nikos grill and subs,appetizers,sampler trio,includes tzatziki hummus and falafel with a grilled pita vegetarian,$11.95 
nikos grill and subs,appetizers,tyropita,0 golden baked phyllo triangles stuffed with imported feta and ricotta,$7.50 
nikos grill and subs,appetizers,baba ganouj pita,roasted eggplants dip with lebini tahini garlic and extra virgin olive oil served with pita,$7.50 
nikos grill and subs,appetizers,muhammara pita,roasted bell pepper ground roasted walnuts bread crumbs cumin hot peppers extra virgin olive oil and pomegranate molasses,$7.50 
nikos grill and subs,appetizers,kibbie appetizer,golden croquettes made with cracked whole wheat and mediterranean spiced stuffed with cooked ground lamb beef onions and fine nuts served with parsley sauce,$8.95 
nikos grill and subs,salads,greek salad,chopped romaine crumbled feta plum tomato red onion kalamata olives pepperoncini stuffed grape leaf cucumbers and our own greek dressing vegetarian,$8.50 
nikos grill and subs,salads,falafel salad,chopped romaine plum tomatoes red onions pickles green pepper falafel and tahini dressing vegetarian,$8.50 
nikos grill and subs,salads,chicken bacon salad,chopped romaine grilled chicken bacon shredded cheddar plum tomatoes red onions and your choice of dressing,$9.95 
nikos grill and subs,salads,buffalo chicken salad,chopped romaine grilled buffalo chicken plum tomatoes carrots bleu cheese crumbles and ranch dressing,$9.95 
nikos grill and subs,salads,caesar salad,three cheese italian blend chopped romaine grilled pita and peppercorn caesar dressing vegetarian,$6.95 
nikos grill and subs,salads,santa fe salad,chopped romaine grilled chicken grilled yellow corn grilled beans grilled carrots grilled green peppers plum tomatoes black olives cheddar cheese red onion and ranch dressing,$9.95 
nikos grill and subs,salads,village salad,lettuceless plum tomatoes feta cheese triangle cucumbers red onion olives green peppers stuffed grape leaves pepperoncini and oil and vinegar vegetarian,$8.95 
nikos grill and subs,salads,garden salad,chopped romaine plum tomatoes red onions green peppers carrots and your choice of dressing vegetarian,$7.50 
nikos grill and subs,nikos gyros and souvlaki,gyro sandwich,delicious rotisserie gyro beef lamb wrapped in a grilled pita topped with lettuce tomatoes onions and tzatziki,$8.35 
nikos grill and subs,nikos gyros and souvlaki,souvlaki sandwich,marinated charbroiled chicken breast or pork tenderloin or leg of lamb wrapped in a grilled pita topped with lettuce tomatoes onions and tzatziki,$8.35 
nikos grill and subs,nikos gyros and souvlaki,chipotle gyro,gyro topped with chipotle mayo crispy bacon pepper jack cheese lettuce tomato and onion,$8.75 
nikos grill and subs,nikos gyros and souvlaki,chipotle souvlaki,souvlaki topped with chipotle mayo crispy bacon pepper jack cheese lettuce tomato and onion,$8.75 
nikos grill and subs,nikos gyros and souvlaki,russian gyro,gyro topped with sauerkraut melted swiss and russian dressing,$8.35 
nikos grill and subs,nikos gyros and souvlaki,russian souvlaki,souvlaki topped with sauerkraut melted swiss and russian dressing,$8.35 
nikos grill and subs,nikos gyros and souvlaki,mega gyro,double the meat stuffed pita topped with fries banana peppers olives tzatziki and red onion,$10.00 
nikos grill and subs,nikos gyros and souvlaki,mega souvlaki,double the meat stuffed pita topped with fries banana peppers olives tzatziki and red onion,$10.00 
